year,group,index,name,type,performers,note,
1989,第一组,4,《幸福歌》,歌曲,梦鸽,,
1989,第一组,5,《补锅》,花鼓戏,邢险峰 苏小路,,
1989,第一组,6,《英雄母亲的一天》,小品,赵丽蓉（已故，2000年7月） 侯耀文（已故，2007年6月）,,
1989,第一组,7,《喷水断砖》《缩身进笼》,气功表演,张加陵 黄幼,,
1989,第一组,8,《山情》,歌曲,杭天琪,,
1989,第一组,9,《儿童集体速算》,综合节目,吉林省辽源市第二实验小学,,
1989,第一组,10,《好小子》,歌曲,程琳,,
1989,第一组,11,《少儿杂技集锦》,杂技,（年龄5-15岁）,,
1989,第一组,12,《铡美案》,京剧,阎锐（6岁） 高艳平（6岁）,,
1989,第一组,13,《圆圆的世界》,歌曲,胡月,,
1989,第一组,14,《十八相送》,黄梅曲越剧对唱,吴琼 何英,,
1989,第二组,1,《是你给我爱》,歌曲,安冬,,
1989,第二组,2,《招聘》,小品,笑林 师胜杰 黄宏 方青卓,,
1989,第二组,3,《爱的奉献》,歌曲,韦唯,,
1989,第二组,4,战士拉歌,军队节目,陆海空武警部队官兵,,
1989,第二组,5,《英雄的赞歌》,歌曲,鞠敬伟,,
1989,第二组,6,《送别》,相声,刘伟 马季（已故，2006年12月）,,
1989,第二组,7,《舞之魂》《版纳三色》《孔雀》,舞蹈,杨丽萍（白族）,,
1989,第二组,8,双簧,双簧,莫岐 王凤朝,,
1989,第二组,9,《跳起来》,现代歌舞,陶金（已故，1997年）等,,
1989,第二组,10,《五花八门》,综合节目,,,
1989,第二组,11,《指南针》,歌曲,蔡虹红,,
1989,第二组,12,谜语擂台赛,互动环节,,,
1989,第三组,1,谜语擂台赛,互动环节,,,
1989,第三组,2,《明月千里寄相思》《心恋》,歌曲,徐小凤（香港）,,
1989,第三组,3,《生日祝辞》,相声,冯巩 牛群,,
1989,第三组,4,《苏三起解》,京剧,桑样（南斯拉夫）,,
1989,第三组,5,《故园之恋》,歌曲,陈汝佳（已故，2004年1月）,,
1989,第三组,6,《春满京城》,歌曲,王哲 刘玉婉,,
1989,第三组,7,《懒汉相亲》,小品,雷恪生 赵连甲 宋丹丹,,
1989,第三组,8,《锁麟囊》选段,京剧,迟小秋,,
1989,第三组,9,《跟着感觉走》《外婆的澎湖湾》《太阳与月亮》,歌曲,潘安邦,,
1989,第三组,10,《外国影视歌曲联唱》,歌曲联唱,李静娴 马太萱 牟玄甫 刘艺 许丽娟 陈红 韦唯,,
